mt_ssa,scm1_ssa,scm2_ssa,mt_pi,scm1_pi,scm2_pi,opc,mt,scm1,scm2,water,fa,ca,sp,age,strength
1589.0,1391.0,1900.0,81.41,91.9,87.29,294.0,6.0,60.0,60.0,185.0,740.0,1111.0,4.5,14.0,33.9
1589.0,1391.0,1900.0,81.41,91.9,87.29,294.0,6.0,60.0,60.0,185.0,740.0,1111.0,4.5,28.0,38.3
1589.0,1391.0,1900.0,81.41,91.9,87.29,294.0,25.0,67.0,34.0,185.0,740.0,1111.0,4.5,7.0,23.4
1589.0,1391.0,1900.0,81.41,91.9,87.29,294.0,25.0,67.0,34.0,185.0,740.0,1111.0,4.5,14.0,27.9
1589.0,1391.0,1900.0,81.41,91.9,87.29,294.0,25.0,67.0,34.0,185.0,740.0,1111.0,4.5,28.0,33.8
1589.0,1391.0,1900.0,81.41,91.9,87.29,294.0,25.0,34.0,67.0,185.0,740.0,1111.0,4.5,7.0,22.7
1589.0,1391.0,1900.0,81.41,91.9,87.29,294.0,25.0,34.0,67.0,185.0,740.0,1111.0,4.5,14.0,30.4
1589.0,1391.0,1900.0,81.41,91.9,87.29,294.0,25.0,34.0,67.0,185.0,740.0,1111.0,4.5,28.0,33.0
6000.0,4875.0,0.0,84.73,87.2,0.0,188.0,56.0,132.0,0.0,143.0,840.0,1018.0,3.76,7.0,26.1
6000.0,4875.0,0.0,84.73,87.2,0.0,188.0,56.0,132.0,0.0,143.0,840.0,1018.0,3.76,60.0,41.3
6000.0,4875.0,0.0,84.73,87.2,0.0,188.0,94.0,94.0,0.0,143.0,840.0,1018.0,3.76,7.0,31.1
6000.0,4875.0,0.0,84.73,87.2,0.0,188.0,94.0,94.0,0.0,143.0,840.0,1018.0,3.76,28.0,40.2
6000.0,4875.0,0.0,84.73,87.2,0.0,188.0,94.0,94.0,0.0,143.0,840.0,1018.0,3.76,60.0,43.2
6000.0,4875.0,0.0,84.73,87.2,0.0,188.0,132.0,56.0,0.0,143.0,840.0,1018.0,3.76,7.0,28.7
6000.0,4875.0,0.0,84.73,87.2,0.0,188.0,132.0,56.0,0.0,143.0,840.0,1018.0,3.76,28.0,33.6
6000.0,4875.0,0.0,84.73,87.2,0.0,188.0,132.0,56.0,0.0,143.0,840.0,1018.0,3.76,60.0,36.8
6000.0,0.0,0.0,84.73,0.0,0.0,188.0,188.0,0.0,0.0,143.0,840.0,1018.0,3.76,7.0,28.8
6000.0,0.0,0.0,84.73,0.0,0.0,188.0,188.0,0.0,0.0,143.0,840.0,1018.0,3.76,28.0,32.4
6000.0,0.0,0.0,84.73,0.0,0.0,188.0,188.0,0.0,0.0,143.0,840.0,1018.0,3.76,60.0,36.2
6000.0,4875.0,0.0,84.73,87.2,0.0,311.0,50.0,117.0,0.0,134.0,725.0,1071.0,7.17,7.0,48.8
6000.0,4875.0,0.0,84.73,87.2,0.0,311.0,50.0,117.0,0.0,134.0,725.0,1071.0,7.17,60.0,79.5
6000.0,4875.0,0.0,84.73,87.2,0.0,311.0,84.0,84.0,0.0,134.0,725.0,1071.0,7.17,7.0,53.6
6000.0,4875.0,0.0,84.73,87.2,0.0,311.0,84.0,84.0,0.0,134.0,725.0,1071.0,7.17,28.0,70.7
6000.0,4875.0,0.0,84.73,87.2,0.0,311.0,84.0,84.0,0.0,134.0,725.0,1071.0,7.17,60.0,78.6
6000.0,4875.0,0.0,84.73,87.2,0.0,311.0,117.0,50.0,0.0,134.0,725.0,1071.0,7.17,7.0,49.8
6000.0,4875.0,0.0,84.73,87.2,0.0,311.0,117.0,50.0,0.0,134.0,725.0,1071.0,7.17,28.0,67.0
6000.0,4875.0,0.0,84.73,87.2,0.0,311.0,117.0,50.0,0.0,134.0,725.0,1071.0,7.17,60.0,75.7
6000.0,0.0,0.0,84.73,0.0,0.0,311.0,167.0,0.0,0.0,134.0,725.0,1071.0,7.17,7.0,51.0
6000.0,0.0,0.0,84.73,0.0,0.0,311.0,167.0,0.0,0.0,134.0,725.0,1071.0,7.17,28.0,63.0
6000.0,0.0,0.0,84.73,0.0,0.0,311.0,167.0,0.0,0.0,134.0,725.0,1071.0,7.17,60.0,65.1
6000.0,0.0,4420.0,84.73,0.0,49.36,205.1,175.8,0.0,205.1,234.4,1758.0,0.0,3.52,3.0,18.3
6000.0,0.0,4420.0,84.73,0.0,49.36,205.1,175.8,0.0,205.1,234.4,1758.0,0.0,3.52,7.0,39.4
6000.0,0.0,4420.0,84.73,0.0,49.36,205.1,175.8,0.0,205.1,234.4,1758.0,0.0,3.52,28.0,44.7
6000.0,0.0,4420.0,84.73,0.0,49.36,205.1,175.8,0.0,205.1,234.4,1758.0,0.0,3.52,90.0,54.4
6000.0,0.0,4420.0,84.73,0.0,49.36,205.1,175.8,0.0,205.1,175.8,1758.0,0.0,3.52,3.0,27.5
6000.0,0.0,4420.0,84.73,0.0,49.36,205.1,175.8,0.0,205.1,175.8,1758.0,0.0,3.52,7.0,47.5
6000.0,0.0,4420.0,84.73,0.0,49.36,205.1,175.8,0.0,205.1,175.8,1758.0,0.0,3.52,28.0,58.3
6000.0,0.0,4420.0,84.73,0.0,49.36,205.1,175.8,0.0,205.1,175.8,1758.0,0.0,3.52,90.0,66.6
6000.0,0.0,0.0,84.73,0.0,0.0,240.0,160.0,0.0,0.0,160.0,736.0,1104.0,4.0,3.0,30.4
6000.0,0.0,0.0,84.73,0.0,0.0,240.0,160.0,0.0,0.0,160.0,736.0,1104.0,4.0,7.0,44.1
6000.0,0.0,0.0,84.73,0.0,0.0,240.0,160.0,0.0,0.0,160.0,736.0,1104.0,4.0,28.0,49.4
6000.0,0.0,0.0,84.73,0.0,0.0,240.0,160.0,0.0,0.0,160.0,736.0,1104.0,4.0,56.0,55.7
6000.0,0.0,0.0,84.73,0.0,0.0,240.0,160.0,0.0,0.0,160.0,736.0,1104.0,4.0,90.0,57.9
6000.0,0.0,0.0,84.73,0.0,0.0,240.0,160.0,0.0,0.0,132.0,747.0,1121.0,6.0,3.0,36.6
6000.0,0.0,0.0,84.73,0.0,0.0,240.0,160.0,0.0,0.0,132.0,747.0,1121.0,6.0,7.0,49.4
6000.0,0.0,0.0,84.73,0.0,0.0,240.0,160.0,0.0,0.0,132.0,747.0,1121.0,6.0,28.0,57.6
6000.0,0.0,0.0,84.73,0.0,0.0,240.0,160.0,0.0,0.0,132.0,747.0,1121.0,6.0,56.0,58.6
6000.0,0.0,0.0,84.73,0.0,0.0,240.0,160.0,0.0,0.0,132.0,747.0,1121.0,6.0,90.0,65.4
6000.0,0.0,4420.0,84.73,0.0,49.36,240.0,120.0,0.0,40.0,160.0,736.0,1104.0,4.0,3.0,28.4
6000.0,0.0,4420.0,84.73,0.0,49.36,240.0,120.0,0.0,40.0,160.0,736.0,1104.0,4.0,7.0,41.0
6000.0,0.0,4420.0,84.73,0.0,49.36,240.0,120.0,0.0,40.0,160.0,736.0,1104.0,4.0,28.0,55.6
6000.0,0.0,4420.0,84.73,0.0,49.36,240.0,120.0,0.0,40.0,160.0,736.0,1104.0,4.0,56.0,59.0
